,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg
,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,std,std,std,std,std,std
decile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.8450595926433828,1.7442470224306457,1.8655193736697182,2.2699867730159005,2.6724854658025743,1.8928901186640719,3.9372319734453045,3.9204195989758186,4.193990874055285,4.892823896191048,5.627087055423938,4.1234548903356885,7.342127243483288,7.9915526994329,8.39596201132832,8.79441977099832,9.833787542574134,8.025685584427166,18504.0,18504.0,18504.0,18504.0,18504.0,18504.0,38.10125395155967,38.68031922168153,37.3229040694171,56.869680258538565,58.15628715235349,40.837271004320144,5.240136029883128,5.583488122528213,5.858187284280988,6.470537966884145,7.135167072572084,5.600831233761774,4.869018856876047e-05,0.0003245477309609,0.000268754666452,0.0003838334049312,0.0005121922412059,1.9959691157282598e-06,4.623292749856845,5.171344337101357,5.2979213025180005,6.062402863768648,6.271165353301261,5.0293602522811565
2,1.9709922429346998,2.1433237510311995,2.1949324100764374,2.5412827378327636,2.655169288322426,2.279517815602593,4.307691269944415,4.677334468840375,4.926891153011273,5.1926896330061805,5.639009499946132,4.57868143372614,8.111990246056923,8.467807328901257,9.175365297483285,8.819254801886961,9.743722280740716,8.069472846091285,18476.0,18476.0,18476.0,18476.0,18476.0,18476.0,45.72848898915608,49.81251647042861,52.17667897027069,55.743348024264,59.79736291506962,49.66153459286548,6.022414276290358,6.41668020937704,6.794856115299667,6.880430310691569,7.459488433602005,6.275705427780611,0.0004969001697724,1.3610469414789009e-06,0.0002452381387462,0.000133425269678,0.0001880586591724,0.0006699464221672,5.967913859999223,6.349811094326794,6.665194665065876,6.652480463834596,7.373989962948946,6.2126976422927775
3,1.9517411440521937,2.1324505362493307,2.201016799512484,1.8236365967053043,2.034818985428383,2.000718881074611,4.230313387324776,4.639959699891047,4.772450238980308,4.367012632488691,4.693309277803745,4.318128581501396,7.709374574817371,8.107494987048405,8.533801894980304,8.247297067782354,8.681508274765081,7.6241206299318,18501.0,18501.0,18501.0,18501.0,18501.0,18501.0,35.978160208690795,36.127672291218296,36.12843567699788,53.745272056097605,54.20455256338005,39.23456576481586,5.620418782060154,6.04333974979864,6.256799156654158,6.047648801418796,6.344310400083642,5.611962028296677,0.0006825188336718,9.734781367140466e-05,0.0010828793866038,0.0001887416576096,0.0004234023925402,2.9023935992269547e-05,5.062703313463045,5.421668037077657,5.564900284868131,5.99575818843394,6.039629009007727,4.996596993188487
4,1.709959762527408,1.7796074307777705,1.82070780013194,1.6504926458646658,1.801513766546397,1.5937399358136417,3.766624652004362,3.9593853179450575,3.9861837827365223,3.859301284794719,4.158561614587696,3.535248632538287,7.082935424436604,7.528494505254704,7.583228586020725,7.426599744289906,7.81606042167234,6.549924315396543,18473.0,18473.0,18473.0,18473.0,18473.0,18473.0,50.15308871890943,47.18687416358554,44.27431043418566,67.01702433944477,65.87152175002049,51.91418921138913,5.254540420816977,5.588095511488929,5.616942349093466,5.805789530042073,6.07563969650163,5.051954061958438,0.000603699502879,0.000477267562701,0.0007734369654832,0.0007409466146853,0.0005533728276731,0.0002442663043821,5.346880475262878,5.721412150722745,5.604686135562371,6.973627988406798,7.112654767829336,5.622355082129986
5,1.579163464036962,1.6323309144552072,1.6761322529526017,1.8009484127582749,1.9839672614351136,1.4905334310042695,3.4381967282116124,3.617270890489928,3.611174712925807,3.964021207445999,4.156268153928125,3.234412746585893,6.364310635166956,6.515041506263166,6.578868183996499,7.324766681090866,7.5966105278225555,5.803298231528843,18485.0,18485.0,18485.0,18485.0,18485.0,18485.0,42.8280518512544,43.26739973893368,41.82883084718728,62.44187944150487,60.71856743821573,47.77272132983308,4.538347342694949,4.684323151611734,4.649528405189806,5.6000009793493515,5.887618907930394,4.392095221364682,8.829612940087528e-06,6.539020394140866e-05,0.0007818057102229,0.0002661160130711,2.59349912962305e-05,6.42549423999595e-05,4.144326630911036,4.306388178654386,4.155599343129576,5.900674197974144,6.1131271267412295,4.456445284749494
6,1.7003213387153604,1.5392901393261234,1.422808818520521,1.7588544676814037,1.9668731792199337,1.339764455114599,3.641541105491852,3.425451243612132,3.202972830278921,3.964281326848861,4.249574967245351,3.0211324710929826,6.6271154877358125,6.586788924952681,6.2268097975527805,7.279378907095165,7.689589821872044,5.86552950016996,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,57.76611779331283,60.16157092011425,63.29670727921594,61.79399330183444,63.02040311010367,60.75473082220436,5.147968833966361,5.0833374122406445,4.91634932989518,5.7578077065071005,6.216066077652309,4.699335653065811,1.683288597971697e-05,0.0004456159916076,0.0003643086027934,1.5572963826359736e-05,0.0002342161415499,0.0001221038697385,5.890294602827929,6.180542728491313,6.3687015464353305,6.790894602242807,7.171258657995521,6.214119604023535
7,1.8849203724223744,1.6686178248008368,1.6410547252710814,1.845950024510952,1.8334492389026584,1.413624997583018,4.002178985344351,3.7068759647888276,3.6205577997778597,4.042406291362427,4.139453648479767,3.2529676659542344,7.12094394602174,6.886122136005442,6.74558442178334,7.395956129170795,7.695638881005743,6.246941255708763,18506.0,18506.0,18506.0,18506.0,18506.0,18506.0,29.91240084054052,31.761061643868626,32.67449335277698,33.63742665375168,34.325678077331034,31.37128833630601,5.177920864433238,4.9606036494821195,4.928385261252886,5.477402215654792,5.662291870312704,4.56686274456421,0.0001303468473136,0.0005976510602239,0.0008902450779851,0.0005295656604277,0.0002600859199882,6.856787520227725e-06,4.466482078769362,4.520888257341462,4.62659767290297,5.1415481261868505,5.386433636232859,4.443268927488712
8,2.3083555249705197,1.9913657981514397,1.9156592515846096,1.725073203676496,1.8419948155588899,1.4510166088483925,4.924104382099873,4.25324646627713,4.191747478693811,3.8416592468667186,3.9830385314945973,3.3368311905939083,8.647140157806238,7.892119693959264,7.836476626437074,7.486635831547834,7.386070968580717,6.827947401206808,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,32.04043329335538,31.603171128638525,34.23684471836517,37.467505497028206,38.27064800800186,34.12350622974887,6.112849388099458,5.650559133270377,5.60946336320755,5.494070316851189,5.521127890167262,4.8931507678933395,0.0013098724083969,0.0023710682719746,0.0005199002219774,0.0010366931948636,1.9482888909437927e-05,0.0004438563355012,5.017071837909124,4.971043024918599,5.111975320131655,5.33726797258828,5.339300950662602,4.884215251831104
9,2.831291414037207,2.182267631948334,1.7685347970378902,1.456778421890077,1.4647582943524369,1.5728478389865812,5.46549071720045,4.59483958913641,4.076397945179498,3.190280239080587,3.2782179457850393,3.4635862036150415,9.045360787021702,8.310472226728665,7.566131388179373,6.0200420146857425,6.107616854280056,6.477482057503474,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,28.601588583831745,27.230428120204454,27.746958336205783,23.74756883249286,24.023801155472867,21.6515503472759,6.43156138652828,5.80837739790524,5.285120954333762,4.3573376803084924,4.324161787528474,4.561590338540156,0.0001476534191903,0.001127424650524,0.0001435447824551,0.0002575164778503,0.000545276927323,0.0011182168012922,4.742590262533111,4.699964710822743,4.5519945696193185,3.9958475784813796,3.763528824693357,3.9406851099654294
10,3.884944873563729,2.52629187403435,1.692654432659976,1.2964041925859555,1.0756387439204507,1.83167185480681,6.013641135832,4.766970815152746,3.6639928112639564,2.7296443460487065,2.3793022885876254,3.7482050660336865,8.946937606427834,8.352362422985912,6.905839536760721,4.981588192134075,4.453131979171174,6.481716414498436,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,32.25857105544982,31.079170480624025,29.27177916674453,29.298895036579665,22.10986084208746,25.70819121296526,6.953423209342055,5.975002670603726,5.116074693989524,3.774319551536704,3.33104434843565,4.72267528868921,0.0011489980048492,0.0002320468849106,0.0001025156307161,0.0001203774337135,3.0186749873591585e-05,3.4703502945465314e-05,4.632240886599244,4.750238182468482,4.795187784594919,3.702011527034172,3.2373800152607703,3.9113006358540385
